,product_id,Label,brand_name,product_name,price,score,Combination,Dry,Normal,Oily,Sensitive,name
0,0,0,Fresh,Soy Makeup Removing Face Wash,38.0,4.4,1,1,1,1,0,Fresh Soy Makeup Removing Face Wash
1,1,0,Dermalogica,Daily Microfoliant Exfoliator,59.0,4.6,1,1,1,1,0,Dermalogica Daily Microfoliant Exfoliator
2,2,0,Dermalogica,Special Cleansing Gel,39.0,4.4,1,1,1,1,0,Dermalogica Special Cleansing Gel
3,3,0,Dermalogica,Mini Daily Microfoliant Exfoliator,15.0,4.3,1,1,1,1,0,Dermalogica Mini Daily Microfoliant Exfoliator
4,4,0,Kiehl's Since 1851,Facial Fuel Energizing Face Wash,24.0,4.8,1,1,1,1,0,Kiehl's Since 1851 Facial Fuel Energizing Face Wash
5,5,0,boscia,Detoxifying Black Charcoal Cleanser,30.0,4.3,1,1,1,1,0,boscia Detoxifying Black Charcoal Cleanser
6,6,0,Jack Black,Pure Clean Daily Facial Cleanser,19.0,4.6,1,1,1,1,0,Jack Black Pure Clean Daily Facial Cleanser
7,7,0,Jack Black,"All-Over Wash For Face, Hair & Body",21.0,4.7,1,1,1,1,0,"Jack Black All-Over Wash For Face, Hair & Body"
8,8,0,Jack Black,Face Buff Energizing Scrub,18.0,0.0,1,1,1,1,0,Jack Black Face Buff Energizing Scrub
9,9,0,Jack Black,Deep Dive™ Glycolic Facial Cleanser,23.0,0.0,1,1,1,1,0,Jack Black Deep Dive™ Glycolic Facial Cleanser
10,10,0,Dermalogica,Active Clay Prebiotic Cleanser,39.0,0.0,1,1,1,1,0,Dermalogica Active Clay Prebiotic Cleanser
11,11,0,Kiehl's Since 1851,Oil Eliminator Deep Cleansing Exfoliating Face Wash For Men,24.0,0.0,1,0,0,1,0,Kiehl's Since 1851 Oil Eliminator Deep Cleansing Exfoliating Face Wash For Men
12,12,0,Lab Series For Men,Multi-Action Face Wash,26.0,0.0,1,1,1,1,0,Lab Series For Men Multi-Action Face Wash
13,13,0,CLINIQUE,Charcoal Face Wash,22.5,0.0,1,1,1,1,0,CLINIQUE Charcoal Face Wash
14,14,0,Kiehl's Since 1851,Age Defender Dual-Action Exfoliating Cleanser,28.0,0.0,0,1,1,0,1,Kiehl's Since 1851 Age Defender Dual-Action Exfoliating Cleanser
15,15,0,CLINIQUE,Face Scrub,21.5,0.0,0,1,1,0,1,CLINIQUE Face Scrub
16,16,0,Dermalogica,Special Cleansing Gel Mini,12.0,0.0,1,1,1,1,0,Dermalogica Special Cleansing Gel Mini
17,17,0,Anthony,Glycolic Facial Cleanser,30.0,0.0,1,1,1,1,0,Anthony Glycolic Facial Cleanser
18,18,0,TOM FORD,Exfoliating Energy Scrub,54.0,0.0,1,0,1,1,0,TOM FORD Exfoliating Energy Scrub
19,19,0,CLINIQUE,Oil Control Face Wash,20.0,0.0,1,0,1,1,0,CLINIQUE Oil Control Face Wash
20,20,0,CLINIQUE,Face Wash,20.0,0.0,1,0,1,1,0,CLINIQUE Face Wash
21,21,0,Anthony,Facial Scrub,36.0,0.0,1,0,1,1,0,Anthony Facial Scrub
22,22,0,Lab Series For Men,Invigorating Face Scrub,33.0,0.0,0,0,1,1,0,Lab Series For Men Invigorating Face Scrub
23,23,0,Lab Series For Men,Oil Control Clay Cleanser + Mask,26.0,0.0,1,0,0,1,0,Lab Series For Men Oil Control Clay Cleanser + Mask
24,24,1,Drunk Elephant,Protini™ Polypeptide Moisturizer,68.0,4.0,1,1,1,1,0,Drunk Elephant Protini™ Polypeptide Moisturizer
25,25,1,Drunk Elephant,B-Hydra™ Intensive Hydration Serum,48.0,4.2,1,1,1,1,0,Drunk Elephant B-Hydra™ Intensive Hydration Serum
26,26,1,Peter Thomas Roth,FIRMx™ Exfoliating Peel Gel,48.0,4.6,0,0,1,0,0,Peter Thomas Roth FIRMx™ Exfoliating Peel Gel
27,27,1,Kiehl's Since 1851,Facial Fuel Energizing Moisturizer for Men,35.0,4.6,1,1,1,1,0,Kiehl's Since 1851 Facial Fuel Energizing Moisturizer for Men
28,28,1,Dermalogica,Active Moist Moisturizer,66.0,4.6,1,0,1,1,0,Dermalogica Active Moist Moisturizer
29,29,1,Peter Thomas Roth,Max Complexion Salicylic Acid Pore Refining Pads,46.0,4.4,1,0,1,1,0,Peter Thomas Roth Max Complexion Salicylic Acid Pore Refining Pads
30,30,1,Peter Thomas Roth,Therapeutic Sulfur Acne Treatment Mask,52.0,4.5,1,0,1,1,0,Peter Thomas Roth Therapeutic Sulfur Acne Treatment Mask
31,31,1,Supergoop!,Superscreen Daily Moisturizer Broad Spectrum SPF 40 PA+++,38.0,3.7,1,1,1,0,0,Supergoop! Superscreen Daily Moisturizer Broad Spectrum SPF 40 PA+++
32,32,1,Jack Black,Intense Therapy Lip Balm SPF 25,8.0,4.7,1,1,1,0,0,Jack Black Intense Therapy Lip Balm SPF 25
33,33,1,Kiehl's Since 1851,Age Defender Moisturizer,40.0,4.9,0,1,1,0,1,Kiehl's Since 1851 Age Defender Moisturizer
34,34,1,Jack Black,Double-Duty Face Moisturizer Broad Spectrum SPF 20,28.0,4.4,0,1,1,0,1,Jack Black Double-Duty Face Moisturizer Broad Spectrum SPF 20
35,35,1,Dermalogica,Multi-Active Toner,41.0,4.4,1,1,1,1,0,Dermalogica Multi-Active Toner
36,36,1,Dermalogica,Skin Smoothing Cream Moisturizer,69.0,4.3,1,1,1,0,0,Dermalogica Skin Smoothing Cream Moisturizer
37,37,1,Jack Black,Protein Booster Skin Serum,62.0,4.7,1,1,1,1,1,Jack Black Protein Booster Skin Serum
38,38,1,CLINIQUE,Clinique For Men™ Anti-Age Moisturizer,41.0,5.0,1,1,1,1,0,CLINIQUE Clinique For Men™ Anti-Age Moisturizer
39,39,1,Jack Black,Clean Break™ Oil-Free Moisturizer,30.0,4.5,1,1,1,1,0,Jack Black Clean Break™ Oil-Free Moisturizer
40,41,1,Dermalogica,Mini Active Moist Moisturizer,42.0,5.0,1,0,1,1,0,Dermalogica Mini Active Moist Moisturizer
41,42,1,CLINIQUE,Clinique For Men™ Maximum Hydrator 72-Hour Auto-Replenishing Hydrator,39.5,5.0,1,1,1,1,0,CLINIQUE Clinique For Men™ Maximum Hydrator 72-Hour Auto-Replenishing Hydrator
42,43,1,Peter Thomas Roth,Water Drench® Hyaluronic Cloud Serum,65.0,4.2,0,1,0,0,0,Peter Thomas Roth Water Drench® Hyaluronic Cloud Serum
43,44,1,Peter Thomas Roth,Irish Moor Mud Purifying Black Mask,60.0,4.4,1,1,1,1,0,Peter Thomas Roth Irish Moor Mud Purifying Black Mask
44,45,1,Jack Black,Cool Moisture Body Lotion,30.0,4.6,1,1,1,1,0,Jack Black Cool Moisture Body Lotion
45,46,1,Lab Series For Men,Age Rescue Face Lotion,55.0,5.0,1,1,1,1,1,Lab Series For Men Age Rescue Face Lotion
46,47,1,TOM FORD,Hydrating Lip Balm,29.0,4.2,1,1,1,1,1,TOM FORD Hydrating Lip Balm
47,48,1,Jack Black,Line Smoother Oil-Free Moisturizer,32.0,4.5,1,1,1,1,1,Jack Black Line Smoother Oil-Free Moisturizer
48,49,1,Jack Black,Dry Erase® Ultra-Calming Face Cream,38.0,4.8,1,1,1,1,1,Jack Black Dry Erase® Ultra-Calming Face Cream
49,50,1,Jack Black,Epic Moisture™ MP10™ Nourishing Oil,35.0,4.7,1,1,1,1,1,Jack Black Epic Moisture™ MP10™ Nourishing Oil
50,51,1,Kiehl's Since 1851,Facial Fuel Energizing Moisturizer for Men Mini,28.0,0.0,1,1,1,1,0,Kiehl's Since 1851 Facial Fuel Energizing Moisturizer for Men Mini
51,52,1,Kiehl's Since 1851,Facial Fuel Sunscreen Broad Spectrum SPF 20,35.0,3.4,0,1,1,0,1,Kiehl's Since 1851 Facial Fuel Sunscreen Broad Spectrum SPF 20
52,53,1,Kiehl's Since 1851,Oil Eliminator 24-Hour Anti-Shine Moisturizer For Men,28.0,3.3,1,0,0,1,0,Kiehl's Since 1851 Oil Eliminator 24-Hour Anti-Shine Moisturizer For Men
